curLat,curLon,wpLat,wpLon,heading
0.110407,0.00276833,0.0978833,0.0235833,121.033
0.110395,0.003705,0.121103,0.0148717,46.2003
0.110385,0.00464167,0.121103,0.0148717,43.6646
0.110377,0.00539167,0.121103,0.0148717,41.4695
0.11018,0.00614,0.0978833,0.0235833,125.182
0.109982,0.007075,0.0978833,0.0235833,126.236
0.109597,0.00800667,0.0978833,0.0235833,126.942
0.109398,0.00894167,0.121103,0.0148717,26.8677
0.109207,0.009315,0.121103,0.0148717,25.0362
0.109008,0.01025,0.121103,0.0148717,20.9125
0.108622,0.0111833,0.0978833,0.0235833,130.892
0.108425,0.0121183,0.0978833,0.0235833,132.597
0.108228,0.012865,0.121103,0.0148717,8.8587
0.108033,0.0136133,0.0978833,0.0235833,135.513
0.108027,0.014175,0.121103,0.0148717,3.04956
0.107642,0.0151067,0.0669883,0.0366167,152.116
0.107445,0.015855,0.0978833,0.0235833,141.053
0.107062,0.0166,0.0978833,0.0235833,142.734
0.106492,0.0173417,0.0978833,0.0235833,144.055
0.106112,0.0179017,0.0669883,0.0366167,154.435
0.105538,0.0188317,0.0669883,0.0366167,155.234
0.105155,0.0195783,0.0669883,0.0366167,155.943
0.104772,0.0203233,0.0978833,0.0235833,154.674
0.104392,0.0208817,0.0978833,0.0235833,157.456
0.103822,0.021625,0.0978833,0.0235833,161.749
0.10307,0.0218033,0.0669883,0.0366167,157.679
0.102317,0.02217,0.0669883,0.0366167,157.759
0.101567,0.02235,0.0669883,0.0366167,157.579
0.101,0.0227183,0.0978833,0.0235833,164.489
0.10006,0.022895,0.0978833,0.0235833,162.451
0.0993083,0.0232617,0.0978833,0.0235833,167.28
0.09856,0.0232533,0.0669883,0.0366167,157.059
0.0978067,0.02362,0.0669883,0.0366167,157.134
0.0972417,0.02399,0.0669883,0.0366167,157.346
0.0963017,0.0243533,0.0978833,0.0235833,334.042
0.095735,0.0247217,0.0978833,0.0235833,332.082
0.0947933,0.025275,0.0978833,0.0235833,331.301
0.094225,0.02583,0.0669883,0.0366167,158.395
0.0932833,0.026195,0.0669883,0.0366167,158.38
0.0927183,0.0265617,0.0669883,0.0366167,158.655
0.0919633,0.0271167,0.0978833,0.0235833,329.169
0.0913983,0.027485,0.0978833,0.0235833,328.967
0.09083,0.0280417,0.0978833,0.0235833,327.704
0.090075,0.028595,0.0669883,0.0366167,160.84
0.089325,0.028775,0.0669883,0.0366167,160.656
0.0887633,0.0287683,0.0669883,0.0366167,160.179
0.08801,0.029135,0.0978833,0.0235833,330.651
0.08688,0.029685,0.0978833,0.0235833,330.99
0.0863133,0.0300533,0.0978833,0.0235833,330.786
0.0855633,0.0302317,0.0669883,0.0366167,161.03
0.0844383,0.0304067,0.0669883,0.0366167,160.411
0.0838783,0.0304017,0.0669883,0.0366167,159.798
0.082755,0.0303883,0.0289417,0.0518833,158.226
0.0821917,0.03057,0.0289417,0.0518833,158.186
0.0814383,0.0309367,0.0289417,0.0518833,158.248
0.0804967,0.0313017,0.0669883,0.0366167,158.522
0.0799283,0.0320433,0.0669883,0.0366167,160.535
0.07936,0.0326,0.0669883,0.0366167,162.013
0.078605,0.0331533,0.0289417,0.0518833,159.337
0.078225,0.0337117,0.0289417,0.0518833,159.76
0.07747,0.034265,0.0289417,0.0518833,160.046
0.076715,0.0348167,0.0669883,0.0366167,169.516
0.0761483,0.0351867,0.0669883,0.0366167,171.127
0.0755833,0.035555,0.0669883,0.0366167,172.958
0.0748283,0.0361083,0.0289417,0.0518833,161.028
0.0738883,0.0364733,0.0289417,0.0518833,161.076
0.0731333,0.0370267,0.0289417,0.0518833,161.418
0.0723833,0.037205,0.0669883,0.0366167,186.224
0.0718217,0.0372,0.0669883,0.0366167,186.882
0.0708817,0.0375633,0.0669883,0.0366167,193.666
0.0701333,0.037555,0.0289417,0.0518833,160.82
0.0693833,0.037735,0.0289417,0.0518833,160.718
0.0686333,0.0377267,0.0289417,0.0518833,160.37
0.0680733,0.03772,0.0669883,0.0366167,225.48
0.0671367,0.03771,0.0669883,0.0366167,262.274
0.0663883,0.0377017,0.0669883,0.0366167,298.943
0.0654533,0.03769,0.0289417,0.0518833,158.757
0.0645167,0.0376817,0.0289417,0.0518833,158.238
0.0635817,0.0376717,0.0289417,0.0518833,157.693
0.0626467,0.0376617,0.0669883,0.0366167,346.467
0.06171,0.03765,0.0669883,0.0366167,348.923
0.060775,0.03764,0.0669883,0.0366167,350.647
0.0600267,0.0376317,0.0289417,0.0518833,155.37
0.059275,0.03781,0.0289417,0.0518833,155.111
0.058525,0.03799,0.0289417,0.0518833,154.844
0.0579633,0.0379833,0.0669883,0.0366167,351.389
0.0568417,0.0379717,0.0669883,0.0366167,352.394
0.0560933,0.0379633,0.0669883,0.0366167,352.954
0.0553417,0.0381417,0.0289417,0.0518833,152.502
0.0545933,0.0381333,0.0289417,0.0518833,151.807
0.0538417,0.0385,0.0289417,0.0518833,151.743
0.0529017,0.0388633,0.0669883,0.0366167,350.938
0.05215,0.0390433,0.0669883,0.0366167,350.712
0.0512083,0.0394083,0.0669883,0.0366167,349.968
0.0502717,0.0397717,0.0289417,0.0518833,150.411
0.0498917,0.0401417,0.0289417,0.0518833,150.731
0.04895,0.0406933,0.0669883,0.0366167,347.265
0.0481983,0.04106,0.0669883,0.0366167,346.695
0.04763,0.041615,0.0669883,0.0366167,345.522
0.046875,0.0421683,0.0669883,0.0366167,344.569
0.0463083,0.0427233,0.0289417,0.0518833,152.191
0.04574,0.04328,0.0289417,0.0518833,152.881
0.0449867,0.0438333,0.0289417,0.0518833,153.356
0.0444183,0.0443883,0.0289417,0.0518833,154.16
0.0436633,0.0449417,0.0289417,0.0518833,154.755
0.0430983,0.04531,0.0289417,0.0518833,155.093
0.0425283,0.0460517,0.0289417,0.0518833,156.77
0.0419617,0.0466083,0.0289417,0.0518833,157.945
0.041395,0.0469767,0.0289417,0.0518833,158.495
0.04064,0.04753,0.0289417,0.0518833,159.588
0.0402583,0.0482733,0.0289417,0.0518833,162.307
0.039505,0.04864,0.0289417,0.0518833,162.932
0.0389367,0.0493833,0.0289417,0.0518833,165.957
0.0381817,0.0497483,0.0289417,0.0518833,166.99
0.0376167,0.0503033,0.0289417,0.0518833,169.678
0.0368633,0.05067,0.0289417,0.0518833,171.292
0.03611,0.0510367,0.0289417,0.0518833,173.264
0.0353617,0.0510283,0.0289417,0.0518833,172.414
0.0344267,0.0510183,0.0289417,0.0518833,171.038
0.03368,0.0508217,0.0289417,0.0518833,167.371
0.0327467,0.050625,0.0195183,0.04948,184.947
0.0320033,0.0502417,0.0195183,0.04948,183.491
